,mean_score,best_score,iteration
0,-10494.25,-18320,0
1,-10649.75,-18320,1
2,-11199.5,-18320,2
3,-11304.0,-18320,3
4,-11670.75,-18320,4
5,-11898.5,-18320,5
6,-12226.5,-18320,6
7,-12365.5,-18320,7
8,-12349.25,-16920,8
9,-13528.5,-17000,9
10,-13774.0,-17000,10
11,-13726.75,-17000,11
12,-13831.5,-17000,12
13,-13755.5,-16920,13
14,-13917.75,-17540,14
15,-14210.0,-17540,15
16,-14237.5,-17540,16
17,-14217.5,-18300,17
18,-14159.75,-18300,18
19,-14374.75,-18300,19
20,-14417.5,-18520,20
21,-15073.5,-18520,21
22,-15041.25,-18520,22
23,-15127.5,-18520,23
24,-15527.75,-18520,24
25,-15405.75,-18860,25
26,-15636.75,-18860,26
27,-15845.0,-18860,27
28,-15925.0,-18860,28
29,-15824.5,-18860,29
30,-16307.75,-18860,30
31,-16262.25,-18880,31
32,-16438.5,-18880,32
33,-16445.75,-19280,33
34,-16388.25,-19280,34
35,-16426.25,-19280,35
36,-16705.5,-19280,36
37,-16676.5,-19800,37
38,-16696.0,-19800,38
39,-17133.75,-19800,39
40,-17227.75,-20800,40
41,-17352.0,-20800,41
42,-17228.75,-20800,42
43,-17349.75,-20800,43
44,-17343.5,-21180,44
45,-17535.75,-20740,45
46,-17562.25,-20540,46
47,-17669.25,-20540,47
48,-17778.25,-20900,48
49,-17637.5,-20900,49
50,-17447.25,-20900,50
51,-17427.5,-20900,51
52,-17669.25,-20900,52
53,-17527.0,-20900,53
54,-18016.5,-21320,54
55,-17937.5,-21320,55
56,-17954.75,-21320,56
57,-17824.25,-21320,57
58,-17815.25,-21320,58
59,-18210.5,-21800,59
60,-18119.0,-21800,60
61,-17723.25,-21800,61
62,-18262.25,-21800,62
63,-18659.0,-21800,63
64,-18709.5,-21800,64
65,-18516.0,-20900,65
66,-18604.75,-20900,66
67,-18563.75,-20900,67
68,-18632.0,-20900,68
69,-18597.5,-20900,69
70,-18601.75,-21500,70
71,-18896.25,-21600,71
72,-18909.75,-21600,72
73,-18929.0,-22040,73
74,-18674.0,-22040,74
75,-18942.5,-22040,75
76,-19104.0,-22040,76
77,-19124.25,-21800,77
78,-19123.75,-22000,78
79,-19436.5,-22000,79
80,-19121.0,-22000,80
81,-19309.5,-22740,81
82,-19250.0,-22740,82
83,-19457.75,-21940,83
84,-19473.25,-22000,84
85,-19289.5,-22000,85
86,-19623.0,-22000,86
87,-19596.75,-22000,87
88,-19291.75,-22000,88
89,-19619.5,-23500,89
90,-19623.75,-23500,90
91,-20152.5,-23300,91
92,-19992.5,-23300,92
93,-20164.0,-23300,93
94,-20254.75,-23300,94
95,-20346.25,-23300,95
96,-20255.75,-23300,96
97,-20592.25,-23300,97
98,-20622.75,-23300,98
99,-20533.5,-23300,99
100,-20562.0,-24400,100
101,-20317.75,-24400,101
102,-20458.5,-24400,102
103,-20535.25,-24400,103
104,-20620.5,-24380,104
105,-20588.25,-24380,105
106,-20753.25,-23100,106
107,-20791.0,-23100,107
108,-20794.5,-23100,108
109,-21395.5,-23100,109
110,-21483.75,-23100,110
111,-21311.5,-23100,111
112,-21388.5,-23100,112
113,-21431.0,-23100,113
114,-21350.25,-23780,114
115,-21315.75,-23780,115
116,-20887.25,-23780,116
117,-21496.5,-23780,117
118,-21368.5,-23580,118
119,-21675.0,-23580,119
120,-21761.75,-23580,120
121,-21739.5,-23580,121
122,-21514.75,-23900,122
123,-21562.0,-23900,123
124,-20731.0,-23900,124
125,-21654.75,-24200,125
126,-21747.75,-24200,126
127,-21668.75,-23900,127
128,-21450.25,-23900,128
129,-21300.0,-23900,129
130,-22040.5,-23900,130
131,-22154.75,-24140,131
132,-22117.0,-24140,132
133,-21426.25,-23900,133
134,-22270.5,-23900,134
135,-21642.75,-24500,135
136,-21989.0,-24800,136
137,-21885.0,-24500,137
138,-21627.75,-24500,138
139,-21249.5,-24500,139
140,-20898.25,-24500,140
141,-20912.5,-24500,141
142,-21511.0,-24500,142
143,-21476.75,-24500,143
144,-22088.0,-24500,144
145,-22140.5,-25500,145
146,-22111.0,-25500,146
147,-22046.5,-25500,147
148,-21402.0,-25500,148
149,-21008.25,-25500,149
150,-21036.25,-25500,150
151,-21828.25,-25500,151
152,-21427.75,-25500,152
153,-22100.75,-25500,153
154,-21326.0,-24400,154
155,-20980.25,-24400,155
156,-22267.0,-24400,156
157,-21765.5,-24400,157
158,-21846.75,-24400,158
159,-22019.5,-24400,159
160,-22212.75,-24400,160
161,-21964.25,-24400,161
162,-22412.25,-24400,162
163,-22062.0,-24400,163
164,-22524.5,-24400,164
165,-22561.5,-25000,165
166,-22667.5,-25000,166
167,-22440.5,-24400,167
168,-22366.0,-24900,168
169,-21444.0,-24400,169
170,-21703.25,-24400,170
171,-22752.75,-24400,171
172,-22790.5,-24400,172
173,-21599.75,-24100,173
174,-21536.5,-24100,174
175,-21616.0,-24460,175
176,-21333.0,-24800,176
177,-22535.75,-24800,177
178,-21687.75,-24640,178
179,-21963.75,-24640,179
180,-21973.0,-24640,180
181,-22986.0,-25300,181
182,-22325.5,-24640,182
183,-22895.25,-24640,183
184,-22873.0,-24500,184
185,-22719.5,-24500,185
186,-22843.5,-24500,186
187,-22888.75,-25500,187
188,-22974.5,-25500,188
189,-22980.75,-25500,189
190,-23081.5,-25500,190
191,-22898.25,-24900,191
192,-23106.25,-24900,192
193,-21482.75,-24900,193
194,-21421.25,-24900,194
195,-22931.0,-24900,195
196,-23083.25,-24600,196
197,-23099.5,-24200,197
198,-23083.25,-24200,198
199,-23042.0,-25500,199
200,-22676.0,-25500,200
201,-22077.0,-25500,201
202,-22000.5,-25500,202
203,-22015.25,-25500,203
204,-22517.0,-24900,204
205,-22946.5,-24900,205
206,-22584.5,-24900,206
207,-22993.25,-25600,207
208,-21531.0,-25600,208
209,-22909.0,-25600,209
210,-22427.0,-25500,210
211,-21710.0,-25500,211
212,-21218.5,-25500,212
213,-22716.25,-25000,213
214,-22809.0,-25000,214
215,-22380.75,-24500,215
216,-22241.5,-24500,216
217,-21534.0,-24700,217
218,-20819.0,-24700,218
219,-21399.5,-24700,219
220,-21363.0,-24700,220
221,-22001.25,-24700,221
222,-21691.25,-24700,222
223,-21683.5,-25000,223
224,-21391.5,-25000,224
225,-22603.0,-25000,225
226,-22035.5,-25000,226
227,-22377.25,-25140,227
228,-22914.25,-25140,228
229,-23021.0,-25140,229
230,-22647.75,-25140,230
231,-22658.5,-25140,231
232,-22697.0,-25140,232
233,-22545.75,-25140,233
234,-22228.0,-25000,234
235,-22214.5,-25500,235
236,-22251.75,-25500,236
237,-21114.0,-25000,237
238,-21766.75,-25000,238
239,-22483.0,-25000,239
240,-22464.5,-25000,240
241,-22362.25,-24600,241
242,-22025.0,-25000,242
243,-22380.0,-25000,243
244,-22188.75,-25000,244
245,-22143.25,-25000,245
246,-22122.5,-25000,246
247,-22492.75,-25100,247
248,-22511.75,-25140,248
249,-21591.5,-25140,249
250,-21561.5,-25140,250
251,-22126.25,-25140,251
252,-22146.0,-25300,252
253,-22066.25,-25300,253
254,-21549.25,-25140,254
255,-22264.75,-25500,255
256,-22459.0,-25500,256
257,-22020.5,-25500,257
258,-22352.75,-25500,258
259,-22708.75,-25500,259
260,-22383.5,-24640,260
261,-22059.25,-24640,261
262,-23155.0,-25540,262
263,-23126.75,-25540,263
264,-23440.5,-25540,264
265,-22767.75,-24640,265
266,-23471.0,-24600,266
267,-23398.0,-24640,267
268,-22078.5,-25100,268
269,-22234.25,-25100,269
270,-21511.0,-25100,270
271,-22507.75,-25100,271
272,-22565.25,-25100,272
273,-22760.0,-25100,273
274,-23417.0,-25100,274
275,-23616.25,-25100,275
276,-23560.75,-25300,276
277,-23529.75,-25100,277
278,-23100.25,-25600,278
279,-23580.0,-26300,279
280,-23671.0,-26300,280
281,-23282.75,-26300,281
282,-23174.75,-26200,282
283,-23122.5,-26200,283
284,-23081.75,-26200,284
285,-23563.75,-26200,285
286,-23643.0,-26200,286
287,-23284.0,-24800,287
288,-23811.5,-25020,288
289,-23506.5,-25300,289
290,-23236.75,-25300,290
291,-23348.0,-25500,291
292,-21886.5,-25500,292
293,-21103.75,-25500,293
294,-21030.25,-25000,294
295,-20988.25,-25700,295
296,-23494.0,-25740,296
297,-23560.75,-25700,297
298,-23139.75,-25700,298
299,-23185.25,-25600,299
