,mean_score,best_score,iteration
0,-11439.0,-17560,0
1,-12570.333333333334,-17560,1
2,-12847.333333333334,-17560,2
3,-12967.333333333334,-17560,3
4,-13933.666666666666,-17560,4
5,-14486.333333333334,-17600,5
6,-14872.333333333334,-17600,6
7,-14873.333333333334,-17560,7
8,-15037.333333333334,-20040,8
9,-15229.0,-20040,9
10,-15759.666666666666,-20040,10
11,-15670.666666666666,-18900,11
12,-15645.666666666666,-18900,12
13,-15648.666666666666,-18900,13
14,-15987.666666666666,-18900,14
15,-16112.0,-18900,15
16,-16134.666666666666,-19420,16
17,-16258.333333333334,-20040,17
18,-16280.333333333334,-20040,18
19,-16409.666666666668,-20040,19
20,-16012.333333333334,-20040,20
21,-16099.0,-20040,21
22,-16329.0,-20040,22
23,-17170.0,-20040,23
24,-17170.333333333332,-20040,24
25,-16556.666666666668,-20040,25
26,-16591.666666666668,-20480,26
27,-16656.0,-19660,27
28,-16463.0,-19660,28
29,-16972.333333333332,-20160,29
30,-17235.333333333332,-19840,30
31,-17225.666666666668,-20200,31
32,-17399.333333333332,-20200,32
33,-17415.333333333332,-20200,33
34,-17318.333333333332,-20200,34
35,-17362.333333333332,-20200,35
36,-17423.666666666668,-20200,36
37,-17705.0,-20200,37
38,-17688.0,-20200,38
39,-17691.666666666668,-20200,39
40,-17541.333333333332,-20200,40
41,-17773.666666666668,-20480,41
42,-17820.0,-20480,42
43,-17977.333333333332,-20580,43
44,-17867.333333333332,-20200,44
45,-18006.333333333332,-20200,45
46,-18175.333333333332,-20560,46
47,-18161.666666666668,-20560,47
48,-18034.666666666668,-20560,48
49,-18098.666666666668,-20560,49
50,-18105.0,-20580,50
51,-18144.0,-20580,51
52,-18261.0,-20580,52
53,-18191.0,-20560,53
54,-18056.333333333332,-20560,54
55,-18202.333333333332,-21440,55
56,-18173.333333333332,-21440,56
57,-18188.666666666668,-21440,57
58,-18218.666666666668,-21440,58
59,-18020.0,-21060,59
60,-18415.0,-21060,60
61,-18399.666666666668,-21500,61
62,-19217.333333333332,-21500,62
63,-18927.666666666668,-21500,63
64,-18850.666666666668,-21500,64
65,-19309.0,-21500,65
66,-19337.666666666668,-21000,66
67,-19199.0,-21000,67
68,-19242.333333333332,-21120,68
69,-19048.666666666668,-21120,69
70,-18854.0,-21000,70
71,-18786.666666666668,-22600,71
72,-19005.666666666668,-22600,72
73,-19156.333333333332,-22600,73
74,-18697.666666666668,-24740,74
75,-19011.666666666668,-23000,75
76,-19445.0,-23000,76
77,-19438.0,-23000,77
78,-19437.333333333332,-23000,78
79,-19709.666666666668,-23000,79
80,-19797.333333333332,-23500,80
81,-19738.0,-23500,81
82,-19778.333333333332,-23500,82
83,-19888.0,-23500,83
84,-19863.666666666668,-23500,84
85,-19545.666666666668,-23500,85
86,-19477.666666666668,-23500,86
87,-20217.666666666668,-22380,87
88,-20306.666666666668,-22380,88
89,-19890.666666666668,-22380,89
90,-20047.666666666668,-22240,90
91,-19750.333333333332,-22940,91
92,-19684.333333333332,-22280,92
93,-19765.0,-22280,93
94,-19584.0,-23500,94
95,-19532.666666666668,-23500,95
96,-20374.333333333332,-23500,96
97,-20164.666666666668,-23500,97
98,-20370.666666666668,-23580,98
99,-20437.666666666668,-23580,99
100,-19836.333333333332,-22600,100
101,-19736.666666666668,-23700,101
102,-19646.666666666668,-23700,102
103,-19462.0,-23700,103
104,-19017.666666666668,-23700,104
105,-20545.333333333332,-23700,105
106,-20583.333333333332,-23700,106
107,-20687.666666666668,-23700,107
108,-20702.333333333332,-24080,108
109,-20763.333333333332,-24080,109
110,-20775.0,-24080,110
111,-20639.333333333332,-24080,111
112,-20613.0,-23140,112
113,-21178.0,-23140,113
114,-21163.0,-23140,114
115,-20979.0,-23140,115
116,-20848.333333333332,-23140,116
117,-21084.333333333332,-23140,117
118,-21170.333333333332,-23200,118
119,-21192.666666666668,-23200,119
120,-21385.666666666668,-23800,120
121,-20643.666666666668,-23840,121
122,-21366.0,-23840,122
123,-21361.333333333332,-23840,123
124,-21378.333333333332,-23800,124
125,-21519.333333333332,-23800,125
126,-21523.333333333332,-23800,126
127,-21141.333333333332,-23940,127
128,-21561.666666666668,-23940,128
129,-21829.666666666668,-23940,129
130,-21377.666666666668,-24300,130
131,-21917.0,-24300,131
132,-21368.666666666668,-24600,132
133,-21028.666666666668,-24600,133
134,-20977.0,-24900,134
135,-20868.333333333332,-24900,135
136,-21658.666666666668,-24900,136
137,-21159.666666666668,-24000,137
138,-21145.0,-24900,138
139,-21555.333333333332,-24900,139
140,-21394.0,-24900,140
141,-21112.0,-24900,141
142,-21485.0,-24900,142
143,-21434.666666666668,-24900,143
144,-21112.666666666668,-24600,144
145,-21464.666666666668,-24600,145
146,-21079.0,-24600,146
147,-21501.0,-24740,147
148,-21064.666666666668,-24900,148
149,-21045.0,-24900,149
150,-20695.666666666668,-24900,150
151,-20463.333333333332,-24900,151
152,-20226.666666666668,-24600,152
153,-20077.0,-23700,153
154,-21936.0,-23700,154
155,-21898.666666666668,-23700,155
156,-22319.333333333332,-23700,156
157,-22302.666666666668,-23700,157
158,-22298.333333333332,-24300,158
159,-22228.0,-24300,159
160,-21916.666666666668,-25340,160
161,-21949.666666666668,-25340,161
162,-22034.666666666668,-25340,162
163,-22008.0,-25340,163
164,-21881.333333333332,-25340,164
165,-21803.666666666668,-25340,165
166,-21725.666666666668,-25340,166
167,-20721.0,-25340,167
168,-22204.333333333332,-25340,168
